file_name,file_id
3 laptops..png,18yRzldzxG3VfXdgMCASnORZp-L71qcmr
arrow with a send letter message icon going rigtht.dotted.png,1IHvovjwsT4x_RulUxjKQ0EK7wK73t6-N
asset_map.txt,1ukt0ETWxHbS0JJZPFlZkjLGoeEKHL9AT
background_section_soft_white.jpg,1TTS91QdhnxjRiiLFW40sTVUS4MozKlha
background_section_soft_white_alt.jpg,1xTlKDonshgeVHdRLvaZXytv7QM6LZHP0
bent dotted arrow to the right.jpeg,1Fb__i28-H0_wdYlmhWbHmyvDHbo2hKFw
Black man in Brown Hat wearing white.png,1C6UOnW392lQcgD-wjmlhCW-jC4z3hOWD
black microphony faces down.png,17t_7V-2CzfcNMdiR3aToZtFzIU7DrJ8_
blur image Gradient.jpg,1z-HsHFPV601clyfycKgU09PGZGdiDo40
case_study_notebook_closeup.jpg,1XNYf3katS_1EHDVOVtK47BRb90A4FNFR
case_study_notebook_cutout_landscape.png,1-ooqASUtIrAtcy3xMbbqEqwokvFoV4Ew
case_study_notebook_cutout_landscape_alt.png,1JZ0XhmIw10tjvEmEfgFoa44hUThGFsll
case_study_notebook_cutout_tall.png,17zmQXAQ97q3hXdVAIlqtq6KC5jhB-7ew
case_study_notebook_desk_flatlay.jpg,14YySc_b7C8GISu_ckn5lHBCjm4xxE3y-
case_study_notebook_workspace_cool.jpg,1yE-M2fEeIUHBAbljGsU9AhQycCqSC9DG
case_study_notebook_workspace_warm.jpg,19MOXd4YbeMz0F5SdWUsOxDKEg6X17jTh
Colour.png,1WMK6GRhYwiWZuKYNCc6uiKp0PUa2D2KX
confetti1.jpg,1T9vhktjwtofN0-2H0ANPGP0KqGkJHcCA
confetti2transparent version .png,1UB8NLzY41K4vY03kpEiVW-1kcexfOvcC
cta_glass_panel.png,1v-iwCle-e2VSyPXh5xifyeUvqpF8pJWo
decor_audio_wave_icon.png,1H8gJi471_i5PQ9UM9bU-yybkT1q5KrYR
decor_dotted_arrow_path.jpeg,1HVveJJV2VHaoYJD3-QT17wJPfHrDCKCn
decor_glass_pip.png,1NlH7uBLse25kjKTRADfnMVi1UOD_lk7T
decor_gradient_pad_frame.png,1LCB6AF81pDgrDSQeJgQAapR0xcFqXPso
decor_hero_glow_grid.png,1jImgBfctNHjWd2gn3AlyUztZ5mKywe1z
decor_profile_ring_badge.png,1t3Px66HbZ0iNhP2bAaq983sAoVzsR6jN
decor_signal_cluster.png,1I4GvvB2fF1cAreTzTbkIFb0JEYH_UZsk
decor_stage_light_ring_cutout.png,1Ar8ADg4ig-fxmBRCWM0gxxk_ggbjtuAC
decor_stage_light_ring_full.jpg,1_vmV-xsmStFGBvrrfAnWGBk1DIjguj-P
decor_testimonial_quote_plate.png,1rm7JB4wEQ60TfFvkzQ3ZwGYjZR9uil0n
dotten arrow bendeing recursilvely to the left.png,1ZoKRPqKb93hc9nNQiGLESWBw4ksBS5Hm
equipment_broadcast_laptop.jpg,172ybFzduvm5AfII45iVXFMU1-G7QY0qn
equipment_broadcast_laptop_alt.jpg,1gaPr94DQ4SFAHtLDl-t_7DBkLug32w9W
equipment_broadcast_laptop_cutout.png,1IJcelCsxkGSbFWs9PtZS0sDNhZnbpDIh
